2019-06-03 16:56:21 DEBUG    LOG STARTED: 2019-06-03
2019-06-03 16:56:21 INFO     TARGET ASSIGNED AS: 8.8.8.8
2019-06-03 16:56:23 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:23
2019-06-03 16:56:26 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:26
2019-06-03 16:56:29 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:29
2019-06-03 16:56:32 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:32
2019-06-03 16:56:35 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:35
2019-06-03 16:56:39 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:39
2019-06-03 16:56:42 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:42
2019-06-03 16:56:45 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:45
2019-06-03 16:56:48 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:48
2019-06-03 16:56:51 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:51
2019-06-03 16:56:54 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:54
2019-06-03 16:56:57 INFO     TARGET (SUCCESS): 8.8.8.8 At 16:56:57
